	Name	HP
261	Blissey	255
121	Chansey	250
217	Wobbuffet	190
351	Wailord	170
655	Alomomola	165
155	Snorlax	160
473	Drifblim	150
313	Slaking	150
544	GiratinaAltered Forme	150
545	GiratinaOrigin Forme	150
321	Hariyama	144
45	Wigglytuff	140
495	Munchlax	135
350	Wailmer	130
145	Vaporeon	130
142	Lapras	130
792	Xerneas	126
793	Yveltal	126
185	Lanturn	125
710	Kyurem	125
711	KyuremBlack Kyurem	125
712	KyuremWhite Kyurem	125
741	Gogoat	123
769	Aurorus	123
598	Throh	120
552	Arceus	120
546	Cresselia	120
577	Musharna	116
515	Rhyperior	115
44	Jigglypuff	115
263	Entei	115
652	Amoonguss	114
470	Gastrodon	111
372	Whiscash	110
691	Mandibuzz	110
543	Regigigas	110
524	Mamoswine	110
559	Emboar	110
514	Lickilicky	110
589	Excadrill	110
640	Reuniclus	110
400	Walrein	110
679	Stunfisk	109
494	GarchompMega Garchomp	108
493	Garchomp	108
794	Zygarde50% Forme	108
500	Hippowdon	108
270	Ho-oh	106
269	Lugia	106
163	MewtwoMega Mewtwo X	106
164	MewtwoMega Mewtwo Y	106
162	Mewtwo	106
615	DarmanitanStandard Mode	105
597	Seismitoad	105
124	KangaskhanMega Kangaskhan	105
123	Kangaskhan	105
96	Muk	105
426	RayquazaMega Rayquaza	105
120	Rhydon	105
616	DarmanitanZen Mode	105
594	Conkeldurr	105
425	Rayquaza	105
319	Exploud	104
590	Audino	103
591	AudinoMega Audino	103
483	Skuntank	103
753	Aromatisse	101
239	Piloswine	100
165	Mew	100
267	Tyranitar	100
540	Dialga	100
264	Suicune	100
346	Swalot	100
516	Tangrowth	100
422	KyogrePrimal Kyogre	100
268	TyranitarMega Tyranitar	100
404	Relicanth	100
423	Groudon	100
178	Noctowl	100
283	SwampertMega Swampert	100
478	Honchkrow	100
199	Azumarill	100
271	Celebi	100
421	Kyogre	100
427	Jirachi	100
282	Swampert	100
424	GroudonPrimal Groudon	100
548	Manaphy	100
